Crop,Production,Import Quantity,Stock Variation,Export Quantity,Domestic supply quantity,Seed,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Wheat,75807,2690,-996,128,77373,2804,59.8,510,14.9,2.36
Wheat,78570,14,2000,163,80421,2775,60.75,518,15.14,2.41
Wheat,80679,180,-1500,146,79214,2846,58.73,501,14.63,2.33
Wheat,80804,199,1550,158,82394,2907,60.32,515,15.03,2.39
Wheat,86874,17,-4130,784,81976,2986,58.85,502,14.66,2.33
Wheat,94880,15,-8713,5040,81141,2965,57.08,487,14.23,2.26
Wheat,93510,27,3,7168,86372,3060,60.56,517,15.09,2.39
Rice,96428,22,0,6490,89960,2278,71.2,706,13.27,1.57
Rice,98740,12,-4000,2514,92237,2097,72.24,717,13.47,1.59
Rice,90494,41,4000,2181,92354,2144,71.69,711,13.36,1.58
Rice,96023,11,500,2264,94270,2200,72.1,715,13.44,1.58
Rice,105319,12,-5000,5045,95287,2122,70.82,703,13.2,1.56
Rice,105253,4,0,10501,94756,2198,70.3,697,13.1,1.54
Rice,106186,5,0,11337,94854,2171,69.49,689,12.96,1.53
Barley,1330,9,0,350,989,72,0.6,4,0.1,0.02
Barley,1200,6,0,169,1037,85,0.63,4,0.11,0.02
Barley,1689,4,0,57,1636,75,1.07,7,0.18,0.03
Barley,1355,5,0,39,1321,85,0.82,5,0.14,0.02
Barley,1663,6,-13,48,1608,92,1,7,0.17,0.03
Barley,1620,41,-8,120,1533,94,0.93,6,0.16,0.02
Barley,1750,12,20,557,1226,97,0.67,4,0.11,0.02
Maize,18955,7,0,2799,16163,899,7.07,58,1.45,0.72
Maize,19731,10,0,3624,16118,909,6.68,55,1.37,0.68
Maize,16720,24,500,2673,14571,941,6.04,50,1.24,0.61
Maize,21726,10,-2000,2376,17359,966,6.37,52,1.31,0.64
Maize,21760,17,0,4129,17648,958,6.5,53,1.33,0.66
Maize,22260,9,0,4537,17732,1045,6.27,51,1.29,0.64
Maize,23290,17,0,5119,18188,946,6.29,52,1.29,0.64
Millet,12673,0,-1200,105,11368,331,75,2.18,0.85,
Millet,11372,0,-300,186,10885,330,71,2.07,0.81,
Millet,8777,0,1500,137,10139,354,65,1.89,0.74,
Millet,13293,1,-1500,157,11637,320,74,2.13,0.84,
Millet,12660,0,-500,133,12027,273,76,2.2,0.86,
Millet,10750,0,0,109,10641,276,66,1.92,0.75,
Millet,10910,0,0,83,10827,264,67,1.94,0.76,
Sorghum,7151,0,42,7109,86,493,48,1.41,0.52,
Sorghum,7926,0,90,7836,95,546,53,1.54,0.57,
Sorghum,7246,0,81,7164,87,499,47,1.39,0.51,
Sorghum,6698,0,130,6568,80,461,43,1.25,0.46,
Sorghum,7003,0,38,6965,70,483,45,1.33,0.49,
Sorghum,5980,0,149,5831,60,411,37,1.09,0.4,
Sorghum,5280,0,219,5061,53,362,32,0.93,0.34,
Sugarcane,355520,0,0,355520,5333,5333,10,0.03,0.07,
Sugarcane,348188,0,0,348188,6964,5223,8,0.03,0.06,
Sugarcane,285029,0,0,285029,5701,4275,7,0.02,0.05,
Sugarcane,292302,0,0,292302,5846,4385,7,0.02,0.05,
Sugarcane,342382,0,0,342382,6848,5136,8,0.03,0.05,
Sugarcane,361037,0,0,361037,7221,5416,8,0.03,0.06,
Sugarcane,341200,0,0,341200,6824,5118,8,0.03,0.05,
Soyabeans,10968,0,-50,41,10877,494,0,0.06,0.03,
Soyabeans,9905,0,20,70,9855,447,0,0.02,0.01,
Soyabeans,9965,0,30,43,9952,450,0,0.03,0.01,
Soyabeans,12736,0,-150,23,12564,573,0,0.05,0.02,
Soyabeans,12214,1,50,46,12219,552,1,0.08,0.04,
Soyabeans,14666,1,-200,66,14401,660,3,0.37,0.18,
Soyabeans,11948,1,-500,332,11118,538,4,0.4,0.19,
Groundnuts,6428,0,-12,264,6152,129,6,0.27,0.52,
Groundnuts,5018,0,245,306,4956,100,6,0.25,0.47,
Groundnuts,3800,0,470,343,3927,76,5,0.23,0.44,
Groundnuts,5785,1,114,383,5518,116,5,0.23,0.44,
Groundnuts,4875,1,483,766,4594,146,4,0.15,0.3,
Groundnuts,3286,0,1975,659,4603,99,3,0.14,0.27,
Groundnuts,6630,1,-2082,557,3992,199,5,0.21,0.41,
Soyabean Oil,1755,1139,1,17,2878,1.79,,,,
Soyabean Oil,1585,699,8,1,2291,1.35,,,,
Soyabean Oil,1594,1101,3,2,2696,1.68,,,,
Soyabean Oil,2038,924,-48,1,2913,1.59,,,,
Soyabean Oil,1954,939,-37,10,2846,1.59,,,,
Soyabean Oil,2262,1094,5,1,3360,1.83,,,,
Soyabean Oil,1690,1108,-29,0,2768,1.81,,,,
